programCode,seriesCode
12S200,lack_health
12S200,lack_secur
12S200,life_expec
12S200,mort_infan
12S200,mort_mater
12S200,vacc_child
12S201,lack_health
12S201,lack_secur
12S202,atent_birth
12S202,detec_diabe
12S202,detec_hyper
12S202,lack_health
12S202,lack_secur
12S202,life_expec
12S202,mort_infan
12S202,mort_mater
12S202,vacc_child
12S251,extre_pover
12S251,incom_ineq
12S251,lack_food
12S251,moder_pover
12U004,lack_health
12U005,atent_birth
12U005,detec_diabe
12U005,detec_hyper
12U005,extre_pover
12U005,incom_ineq
12U005,lack_health
12U005,life_expec
12U005,moder_pover
12U005,mort_infan
12U005,mort_mater
12U005,vacc_child
12U006,lack_health
12U006,lack_secur
12U006,life_expec
12U006,mort_infan
12U007,atent_birth
12U007,life_expec
12U007,mort_mater
12U008,detec_diabe
12U008,life_expec
12U009,life_expec
12U009,vacc_child
12U010,life_expec
12U012,lack_health
14E003,lack_noact
14E003,lack_secur
14E004,lack_noact
14E005,lack_noact
14E005,lack_secur
14E006,benef_disabl
14E006,insur_disabl
14E006,lack_noact
14E007,extre_pover
14E007,incom_ineq
14E007,lack_food
14E007,moder_pover
14E010,extre_pover
14E010,incom_ineq
14E010,lack_food
14E010,lack_noact
14E010,lack_secur
14E010,moder_pover
14S043,extre_pover
14S043,incom_ineq
14S043,lack_food
14S043,lack_noact
14S043,lack_secur
14S043,moder_pover
14U001,extre_pover
14U001,incom_ineq
14U001,lack_food
14U001,lack_noact
14U001,lack_secur
14U001,moder_pover
15E001,extre_pover
15E001,incom_ineq
15E001,insec_food
15E001,moder_pover
15E001,own_house
15E002,extre_pover
15E002,incom_ineq
15E002,insec_food
15E002,moder_pover
15E002,own_house
15E003,extre_pover
15E003,incom_ineq
15E003,insec_food
15E003,moder_pover
15E003,own_house
15E004,extre_pover
15E004,incom_ineq
15E004,insec_food
15E004,moder_pover
15E004,own_house
15E005,extre_pover
15E005,incom_ineq
15E005,insec_food
15E005,moder_pover
15E005,own_house
15E006,extre_pover
15E006,incom_ineq
15E006,insec_food
15E006,moder_pover
15E007,extre_pover
15E007,incom_ineq
15E007,lack_food
15E007,moder_pover
15F002,extre_pover
15F002,incom_ineq
15F002,moder_pover
15S048,acce_comu
15S048,house_servi
15S048,trash_dispo
15S058,house_servi
15S058,house_space
15S058,own_house
15S088,extre_pover
15S088,incom_ineq
15S088,lack_food
15S088,moder_pover
15S089,extre_pover
15S089,incom_ineq
15S089,lack_food
15S089,moder_pover
15S117,extre_pover
15S117,house_servi
15S117,house_space
15S117,incom_ineq
15S117,moder_pover
15S117,own_house
15S175,acce_comu
15S177,house_servi
15S177,house_space
15S177,own_house
15S203,extre_pover
15S203,incom_ineq
15S203,lack_food
15S203,moder_pover
15S213,extre_pover
15S213,incom_ineq
15S213,insec_food
15S213,moder_pover
15S213,own_house
15S253,acce_comu
15S253,house_servi
15S253,trash_dispo
15S255,acce_comu
15S255,house_servi
15S255,trash_dispo
15S256,acce_comu
15S256,extre_pover
15S256,house_servi
15S256,incom_ineq
15S256,moder_pover
15S256,trash_dispo
15S273,acce_comu
15S273,house_servi
15S273,trash_dispo
15S274,house_servi
15S274,house_space
15S274,own_house
15S388,extre_pover
15S388,incom_ineq
15S388,lack_food
15S388,moder_pover
15S389,extre_pover
15S389,incom_ineq
15S389,lack_food
15S389,moder_pover
15S703,extre_pover
15S703,incom_ineq
15S703,lack_food
15S703,moder_pover
15U001,extre_pover
15U001,incom_ineq
15U001,insec_food
15U001,moder_pover
15U001,own_house
15U002,acce_comu
15U002,house_servi
15U002,incom_ineq
15U002,moder_pover
15U004,house_servi
15U004,house_space
15U004,own_house
16E001,house_servi
16E002,house_servi
16E004,house_servi
16E004,life_expec
16E004,mort_infan
16G012,insec_food
16G014,insec_food
16K007,house_servi
16K007,life_expec
16K007,mort_infan
16K111,insec_food
16K131,house_servi
16K135,insec_food
16K141,insec_food
16K307,house_servi
16K307,life_expec
16K307,mort_infan
16S047,house_servi
16S047,life_expec
16S047,mort_infan
16S071,extre_pover
16S071,incom_ineq
16S071,lack_food
16S071,lack_noact
16S071,lack_secur
16S071,moder_pover
16S074,house_servi
16S074,life_expec
16S074,mort_infan
16S075,extre_pover
16S075,house_servi
16S075,incom_ineq
16S075,life_expec
16S075,moder_pover
16S075,mort_infan
16S076,insec_food
16S077,insec_food
16S079,insec_food
16S080,extre_pover
16S080,incom_ineq
16S080,insec_food
16S080,moder_pover
16S081,insec_food
16S083,insec_food
16S122,incom_ineq
16S122,moder_pover
16S217,insec_food
16S218,house_servi
16S218,life_expec
16S218,mort_infan
16S374,house_servi
16S374,life_expec
16S374,mort_infan
16S375,extre_pover
16S375,house_servi
16S375,incom_ineq
16S375,life_expec
16S375,moder_pover
16S375,mort_infan
16U001,house_servi
16U001,life_expec
16U001,mort_infan
16U007,house_servi
16U007,life_expec
16U007,mort_infan
16U008,house_servi
16U008,life_expec
16U008,mort_infan
16U012,trash_dispo
16U028,insec_food
16U037,house_servi
18E016,detec_diabe
18E016,detec_hyper
18E016,life_expec
19J006,access_pens
19J006,pension_SAR
19J007,access_pens
19J008,access_pens
19J008,pension_SAR
19J009,access_pens
19J011,access_pens
19J011,pension_SAR
19J012,access_pens
19J012,pension_SAR
19J014,access_pens
19J014,benef_death
19J017,access_pens
19J017,pension_SAR
19J021,access_pens
19J021,pension_SAR
19J022,access_pens
19J022,pension_SAR
19J025,access_pens
19J026,access_pens
19J028,access_pens
19J028,pension_SAR
19S038,atent_birth
19S038,detec_diabe
19S038,detec_hyper
19S038,extre_pover
19S038,incom_ineq
19S038,lack_health
19S038,life_expec
19S038,moder_pover
19S038,mort_infan
19S038,mort_mater
19S038,vacc_child
19T001,benef_disabl
19T001,insur_disabl
19T001,lack_health
19T001,lack_secur
19T002,benef_disabl
19T002,benef_life
19T002,insur_disabl
19T002,lack_secur
19T003,lack_health
19T003,lack_high65
19T003,lack_noact
19T003,lack_secur
19T005,access_pens
19T005,pension_SAR
19T006,lack_health
19T006,lack_secur
19U001,lack_health
19U001,lack_secur
19U002,lack_health
19U002,lack_secur
20B004,extre_pover
20B004,incom_ineq
20B004,lack_food
20B004,life_expec
