stateAbbreviation,year,total,participations,contributions
MIC,2012,52758184477,18511608769,29523367330
MOR,2012,20842342000,6555706000,11146000000
NAY,2012,20948904456,5074201804,10854242085
NLE,2012,79861135262,22933604445,32157069516
OAX,2012,57288048000,13083274000,38196993000
PUE,2012,65262591300,20327830000,38795781000
QUE,2012,23209493330,8552095433,11642250156
ROO,2012,24731205463,6315420000,11284874000
SLP,2012,32585280000,9851756000,19488666000
SIN,2012,39077641042,12387442002,21225275107
SON,2012,43592775996,14912622469,22200830084
TAB,2012,44189898217,18582731289,19907430212
TAM,2012,41416355805,14400356142,21271981516
TLA,2012,18063422230,5270557001,9622437865
VER,2012,115871875946,30468605595,49496584017
YUC,2012,25494831827,7957924124,14003616678
ZAC,2012,26826368772,6746273532,14580602168
AGU,2013,19791612196,6001031000,12053824196
BCN,2013,39263597831,16008313009,16524586240
BCS,2013,12866432595,3625810276,6653712909
CAM,2013,19433933000,6689542000,10078186000
COA,2013,38614795560,12401115916,20203115686
COL,2013,12480212598,3676053971,7747355751
CHP,2013,79121120996,21839803674,49066305220
CHH,2013,67064484006,15466390883,29457388571
DUR,2013,26207301489,7023092500,16157063339
GUA,2013,66246880584,21620247209,35807596808
GRO,2013,50640187000,12118181000,36322785000
HID,2013,39440449579,10856641010,23475325743
JAL,2013,89751186159,33530781569,42436919962
MEX,2013,219586339300,68247942800,86427552900
MIC,2013,58040153557,17473416421,32643902593
MOR,2013,24395158681,7343284000,13058498000
NAY,2013,19006757092,5819449342,11628488199
NLE,2013,107864952820,25181284122,32135093324
OAX,2013,60063522940,14415672499,38639228672
PUE,2013,76469525179,23196518197,43395987787
QUE,2013,25925432464,8772500477,13584593624
ROO,2013,28627029521,6902695000,12094699000
SLP,2013,34743295000,10640071000,20707888000
SIN,2013,42808458565,13038157259,25352375849
SON,2013,51677125691,15984208954,25054192388
TAB,2013,42092081181,19480165171,19864613323
TAM,2013,44350144115,14881625149,23010835461
TLA,2013,18944099595,5540932566,10293040203
VER,2013,112031033703,32963200000,56430700000
YUC,2013,30205978168,9075789668,17148041671
ZAC,2013,25834634936,7214821989,16141824275
AGU,2014,21075072001,6312721001,11444630000
BCN,2014,41387804697,15978819403,18157285504
BCS,2014,13161402660,3862772235,8090073420
CAM,2014,21462902129,6757416000,10599073000
COA,2014,42345106383,13839453556,21108530453
COL,2014,13954535087,3915334791,8391814455
CHP,2014,97113434643,23262868436,51998065109
CHH,2014,63215027318,17200774013,29049418629
DUR,2014,29713311561,7720960223,19061042507
GUA,2014,75143014086,24076858648,40774321198
GRO,2014,57354715490,13765532347,41464636050
HID,2014,39590016258,11333823412,25727697091
JAL,2014,90391564937,36163847658,45104555809
MEX,2014,258704204900,75188938000,99686288000
MIC,2014,61732510923,18725174514,37439346726
MOR,2014,26190832000,8181583000,14791488000
NAY,2014,23145755415,5863597497,12337797167
NLE,2014,87002774629,26731784575,36001205037
OAX,2014,66823344327,16158130604,43249881287
PUE,2014,86757472083,25317355898,50852994306
QUE,2014,28685924884,9615396445,14643904561
ROO,2014,29020060884,8113134702,13154605473
SLP,2014,37753501344,11602049000,21989569000
SIN,2014,46202361658,14589473834,26798112424
SON,2014,60417518876,17036924205,21981934242
TAB,2014,43930066445,19453578348,21448152545
TAM,2014,47400348895,16918744427,24854561000
TLA,2014,19170712101,6030821050,11121880516
VER,2014,111973265209,34067729071,58267016619
YUC,2014,31356817736,10241554580,16621163121
ZAC,2014,28696440001,7432066501,19057241685
AGU,2015,22524089000,7000065000,12189381000
BCN,2015,42142977522,17070457151,18650360306
BCS,2015,16305031401,4104089666,9306477514
CAM,2015,23168692178,8187145000,12352655706
COA,2015,44811545889,14652530128,20907167441
COL,2015,16664557541,4152368555,9321356526
CHP,2015,87811079909,24368855988,57368299739
CHH,2015,66598586055,18514108601,32315940308
DUR,2015,33969290889,8371440879,21636674474
GUA,2015,81366855209,26643970401,38736655860
GRO,2015,55580399482,14920339741,38425541911
HID,2015,46138516886,12218634917,28213761297
JAL,2015,96809252327,39942615879,47216720788
MEX,2015,246144883600,80702443000,96824592000
MIC,2015,62740715681,19395252367,38594218409
MOR,2015,28242232298,8761883000,17511733745
NAY,2015,21197630447,6270501605,13921216529
NLE,2015,86631472000,28885638039,38432706997
OAX,2015,70202467499,16040298133,46754823289
PUE,2015,84600371524,27020252679,48639526929
QUE,2015,30788984952,10388674302,16052928432
ROO,2015,31485017000,8275981000,13596045000
SLP,2015,42794555000,12168094000,26061622000
SIN,2015,47721223039,15219320303,27732922264
SON,2015,57500205638,17516778738,22287969954
TAB,2015,47261846215,20896359981,22247513103
TAM,2015,52599345087,17655419614,28580083332
TLA,2015,21522593216,6322671808,12758646363
VER,2015,114416959140,33980343000,62802654962
YUC,2015,34548235470,10462241433,19553589556
ZAC,2015,30462058528,8015950718,18968086016
AGU,2016,24431871000,7898881108,12688986658
BCN,2016,50306834266,19511745913,23308333303
BCS,2016,18423069084,4428580633,11216017125
CAM,2016,21475764797,7862292000,11398584000
COA,2016,46494977926,16616263605,22696019973
COL,2016,16146687074,4905141459,9906333015
